row_id,week_start,pilot_name,region,channel,store_cluster,stores,avg_temp_f,weather_index,units_sold,revenue,gross_margin_pct,repeat_rate,attach_rate,cannibalization_index,promo_spend,app_impressions,conversion_rate,customer_segment,ops_complexity_score,stockout_rate,nps
25,2025-12-15,Pineapple Passionfruit Refresher,Texas,Drive-thru,texas-3,114,60,0.35,4947,29434.65,0.79,0.165,0.113,0.216,19380,306432,0.0614,Warm-weather commuter,4.94,0.049,39
26,2025-06-16,Blood Orange Espresso Tonic,Southeast,Mobile Order,southeast-2,85,76,0.495,4029,23972.55,0.605,0.192,0.231,0.134,24905,86360,0.065,Cold coffee loyalist,1.85,0.078,38
27,2025-10-06,Spiced Mocha Cold Brew,Texas,RTD Retail,texas-4,43,93,0.928,2550,11449.5,0.798,0.308,0.082,0.152,4214,60114,0.0792,Warm-weather commuter,1.62,0.058,59
28,2025-08-11,Vanilla Cream Cold Brew,Southeast,Delivery,southeast-2,139,76,0.565,11460,68187,0.658,0.274,0.08,0.298,39476,336241,0.0923,Warm-weather commuter,1.93,0.055,54
29,2025-05-26,Vanilla Cream Cold Brew,West,Mobile Order,west-3,146,90,0.876,16484,98079.8,0.642,0.308,0.231,0.203,17228,200166,0.1046,Warm-weather commuter,2.91,0.019,53
30,2025-08-11,Vanilla Cream Cold Brew,South,Delivery,south-5,37,65,0.392,3024,17992.8,0.608,0.218,0.105,0.098,7030,92907,0.0881,Rewards power user,4.85,0.058,45
31,2025-08-25,Iced Ube Coconut Macchiato,West,In-store,west-2,105,85,0.7,8108,48242.6,0.681,0.218,0.207,0.051,30240,280560,0.0615,Gen Z afternoon,3.35,0.066,46
32,2025-09-08,Pineapple Passionfruit Refresher,Florida,In-store,florida-3,122,85,0.75,6562,39043.9,0.789,0.259,0.193,0.095,13054,358924,0.0805,Seasonal trial seeker,3.53,0.086,49
33,2025-05-12,Spiced Mocha Cold Brew,South,Delivery,south-6,115,80,0.704,9059,53901.05,0.706,0.264,0.137,0.113,11960,446660,0.0906,Warm-weather commuter,4.64,0.121,54
34,2025-12-15,Iced Ube Coconut Macchiato,Northeast,Drive-thru,northeast-6,49,87,0.826,4351,25888.45,0.756,0.229,0.208,0.077,13230,131614,0.0734,Seasonal trial seeker,1.15,0.039,44
35,2025-05-26,Summer Berry Refresher,South,Drive-thru,south-1,92,56,0.35,5156,30678.2,0.799,0.192,0.188,0.236,27784,136160,0.0655,Cold coffee loyalist,2.44,0.02,50
36,2026-02-02,Vanilla Cream Cold Brew,Pacific Northwest,Delivery,pacific-northwest-2,147,69,0.416,11442,68079.9,0.705,0.271,0.233,0.221,15435,152292,0.0908,Morning commuter,4.07,0.099,52
37,2025-07-28,Cinder Orange Cold Brew Sim,Northeast,Delivery,northeast-3,55,92,0.834,5237,31160.15,0.643,0.293,0.181,0.126,13860,170115,0.0894,Cold coffee loyalist,4.51,0.046,53
38,2025-07-07,Blood Orange Espresso Tonic,New York Metro,Drive-thru,new-york-metro-8,173,90,0.763,13742,81764.9,0.661,0.222,0.209,0.087,21452,709127,0.0734,Cold coffee loyalist,3.69,0.06,44
39,2025-08-25,Citrus Green Tea,South,Mobile Order,south-2,88,72,0.472,3785,22520.75,0.719,0.179,0.253,0.167,15136,169224,0.0767,Cold coffee loyalist,3.14,0.006,35
40,2026-02-02,Citrus Green Tea,West,Delivery,west-7,190,78,0.629,8788,52288.6,0.689,0.213,0.124,0.084,44840,272270,0.0555,Gen Z afternoon,3.54,0.074,43
41,2025-11-03,Spiced Mocha Cold Brew,Southeast,RTD Retail,southeast-6,215,89,0.824,14046,63066.54,0.72,0.299,0.198,0.303,22790,621350,0.0834,Morning commuter,2.8,0.038,59
42,2025-08-11,Vanilla Cream Cold Brew,New York Metro,In-store,new-york-metro-1,127,86,0.693,13431,79914.45,0.648,0.294,0.145,0.28,27051,447040,0.0729,Rewards power user,4.45,0.066,53
43,2025-06-30,Blood Orange Espresso Tonic,West,RTD Retail,west-5,143,78,0.609,6085,27321.65,0.642,0.23,0.074,0.157,34320,490490,0.0652,Warm-weather commuter,3.62,0.026,39
44,2025-05-26,Cinder Orange Cold Brew Sim,Northeast,Mobile Order,northeast-5,89,79,0.665,8512,50646.4,0.615,0.26,0.216,0.241,23941,168299,0.0947,Rewards power user,5.35,0.047,40
45,2025-08-11,Summer Berry Refresher,New York Metro,RTD Retail,new-york-metro-6,108,93,0.802,6775,30419.75,0.611,0.262,0.155,0.166,30240,270756,0.0643,Morning commuter,2.17,0.011,59
46,2025-12-15,Citrus Green Tea,Pacific Northwest,Mobile Order,pacific-northwest-7,114,93,0.868,9911,58970.45,0.631,0.284,0.266,0.226,18468,301074,0.093,Seasonal trial seeker,5.29,0.101,50
47,2025-06-16,Blood Orange Espresso Tonic,Northeast,In-store,northeast-5,57,96,0.974,5552,33034.4,0.562,0.258,0.211,0.226,10944,144096,0.081,Seasonal trial seeker,5.56,0.085,36
48,2025-11-24,Spiced Mocha Cold Brew,New York Metro,RTD Retail,new-york-metro-6,146,76,0.633,9232,41451.68,0.677,0.268,0.234,0.318,19272,284846,0.0636,Rewards power user,2.24,0.059,58
49,2025-05-05,Blood Orange Espresso Tonic,Florida,In-store,florida-7,49,92,0.785,4158,24740.1,0.596,0.26,0.1,0.234,8428,63553,0.0854,Rewards power user,3.76,0.038,47
50,2025-12-08,Spiced Mocha Cold Brew,Northeast,Delivery,northeast-8,196,66,0.35,13964,83085.8,0.781,0.213,0.223,0.125,56448,665420,0.0568,Warm-weather commuter,3.1,0.066,47
51,2025-06-23,Vanilla Cream Cold Brew,Pacific Northwest,Mobile Order,pacific-northwest-7,172,90,0.773,18186,108206.7,0.647,0.296,0.244,0.284,43516,448920,0.0961,Cold coffee loyalist,1.82,0.02,57
52,2025-10-27,Pineapple Passionfruit Refresher,Northeast,Mobile Order,northeast-8,93,77,0.561,7897,46987.15,0.736,0.239,0.267,0.166,24459,212226,0.0665,Cold coffee loyalist,1.52,0.053,49
53,2025-07-28,Summer Berry Refresher,New York Metro,Delivery,new-york-metro-7,55,62,0.35,2012,11971.4,0.703,0.219,0.072,0.147,6820,217745,0.0562,Cold coffee loyalist,2.73,0.049,43
54,2025-08-04,Iced Ube Coconut Macchiato,New York Metro,Drive-thru,new-york-metro-2,196,96,0.867,10087,60017.65,0.728,0.244,0.219,0.154,35084,569772,0.0935,Cold coffee loyalist,1.82,0.03,48
55,2025-05-26,Citrus Green Tea,Texas,In-store,texas-2,194,80,0.635,12714,75648.3,0.608,0.205,0.086,0.154,18236,249096,0.0863,Warm-weather commuter,2.65,0.087,40
56,2026-01-26,Iced Ube Coconut Macchiato,Northeast,RTD Retail,northeast-5,69,88,0.755,2834,12724.66,0.641,0.273,0.187,0.163,7659,149937,0.0913,Rewards power user,1.03,0.023,53
57,2025-05-05,Citrus Green Tea,Midwest,Drive-thru,midwest-2,171,70,0.453,9833,58506.35,0.673,0.184,0.238,0.169,31122,318231,0.0502,Morning commuter,4.41,0.045,45
58,2026-01-26,Summer Berry Refresher,Pacific Northwest,RTD Retail,pacific-northwest-7,115,94,0.925,5744,25790.56,0.744,0.288,0.156,0.14,33005,209990,0.0907,Morning commuter,2.78,0.087,51
59,2026-01-26,Vanilla Cream Cold Brew,Northeast,RTD Retail,northeast-7,167,85,0.666,11570,51949.3,0.628,0.288,0.138,0.143,49599,567800,0.1002,Rewards power user,2.21,0.004,52
60,2025-06-09,Iced Ube Coconut Macchiato,California,Delivery,california-6,119,79,0.545,5119,30458.05,0.629,0.209,0.122,0.068,15589,499681,0.0661,Seasonal trial seeker,3.87,0.089,39
61,2025-06-16,Blood Orange Espresso Tonic,New York Metro,Drive-thru,new-york-metro-1,52,96,0.931,3488,20753.6,0.746,0.3,0.072,0.108,10608,79300,0.0829,Gen Z afternoon,2.74,0.076,48
62,2025-06-16,Citrus Green Tea,West,RTD Retail,west-4,51,85,0.766,3633,16312.17,0.61,0.23,0.083,0.121,14331,57171,0.0613,Gen Z afternoon,3.14,0.087,48
63,2025-12-22,Pineapple Passionfruit Refresher,West,Mobile Order,west-7,86,85,0.774,6959,41406.05,0.629,0.223,0.199,0.086,23392,243982,0.0566,Seasonal trial seeker,1.03,0.001,46
64,2026-01-19,Summer Berry Refresher,Southeast,RTD Retail,southeast-8,208,84,0.652,12501,56129.49,0.774,0.234,0.167,0.208,16848,722176,0.0849,Rewards power user,4.23,0.064,53
65,2025-06-16,Spiced Mocha Cold Brew,South,RTD Retail,south-6,141,57,0.35,6556,29436.44,0.793,0.229,0.19,0.203,29046,283128,0.0777,Morning commuter,2.36,0.08,40
66,2025-09-08,Pineapple Passionfruit Refresher,Southeast,Mobile Order,southeast-6,211,89,0.846,12444,74041.8,0.736,0.244,0.247,0.182,38824,867632,0.0816,Cold coffee loyalist,2.47,0.071,51
67,2025-06-23,Summer Berry Refresher,Southeast,RTD Retail,southeast-6,196,76,0.555,8167,36669.83,0.688,0.247,0.107,0.246,42336,582708,0.0807,Gen Z afternoon,3.47,0.062,43
68,2026-01-12,Iced Ube Coconut Macchiato,South,Mobile Order,south-3,202,59,0.35,16508,98222.6,0.62,0.181,0.108,0.182,16564,428846,0.0589,Morning commuter,1.33,0.025,43
69,2025-11-17,Vanilla Cream Cold Brew,California,Mobile Order,california-1,138,92,0.831,13771,81937.45,0.62,0.3,0.275,0.16,24150,407100,0.0736,Gen Z afternoon,4.88,0.06,47
70,2025-07-21,Summer Berry Refresher,Pacific Northwest,Mobile Order,pacific-northwest-1,74,79,0.582,4592,27322.4,0.682,0.247,0.156,0.231,13320,77478,0.0872,Cold coffee loyalist,2.39,0.018,45
71,2025-07-14,Cinder Orange Cold Brew Sim,Northeast,In-store,northeast-1,49,81,0.692,3043,18105.85,0.6,0.313,0.111,0.287,6713,189532,0.0949,Warm-weather commuter,3.08,0.04,51
72,2025-09-22,Iced Ube Coconut Macchiato,Northeast,Delivery,northeast-5,157,97,0.957,11659,69371.05,0.616,0.253,0.071,0.115,22765,316355,0.0828,Seasonal trial seeker,1.55,0.001,59
73,2026-01-19,Vanilla Cream Cold Brew,Pacific Northwest,Drive-thru,pacific-northwest-2,39,63,0.35,1548,9210.6,0.751,0.264,0.227,0.128,3198,75582,0.0798,Warm-weather commuter,2.66,0.068,53
74,2025-10-06,Iced Ube Coconut Macchiato,Pacific Northwest,RTD Retail,pacific-northwest-4,75,96,0.936,3516,15786.84,0.686,0.262,0.164,0.204,20175,136200,0.0792,Rewards power user,3.54,0.053,53
75,2025-06-02,Summer Berry Refresher,Texas,Mobile Order,texas-5,59,67,0.35,3182,18932.9,0.652,0.178,0.16,0.105,17877,147913,0.0544,Gen Z afternoon,4.23,0.067,35
76,2025-09-15,Vanilla Cream Cold Brew,California,Mobile Order,california-5,99,65,0.35,7448,44315.6,0.633,0.259,0.233,0.235,28512,285021,0.0807,Cold coffee loyalist,1.34,0.041,56
77,2025-09-01,Cinder Orange Cold Brew Sim,Pacific Northwest,In-store,pacific-northwest-8,80,92,0.898,9032,53740.4,0.645,0.321,0.213,0.122,22240,334720,0.096,Morning commuter,4.84,0.091,44
78,2025-10-20,Summer Berry Refresher,Florida,In-store,florida-2,144,58,0.35,7847,46689.65,0.781,0.19,0.068,0.093,22176,204480,0.0678,Seasonal trial seeker,1.42,0.006,44
79,2025-09-15,Pineapple Passionfruit Refresher,Florida,RTD Retail,florida-8,200,57,0.35,8240,36997.6,0.767,0.198,0.159,0.225,42000,231000,0.0698,Gen Z afternoon,3.6,0.074,47
80,2026-01-26,Spiced Mocha Cold Brew,South,Mobile Order,south-3,183,77,0.632,16116,95890.2,0.711,0.29,0.233,0.183,57828,256017,0.0759,Morning commuter,3.8,0.011,43
81,2025-09-01,Iced Ube Coconut Macchiato,Pacific Northwest,In-store,pacific-northwest-7,126,88,0.719,8678,51634.1,0.649,0.244,0.122,0.077,35658,371574,0.0645,Warm-weather commuter,1.37,0.048,52
82,2025-08-11,Pineapple Passionfruit Refresher,Texas,Mobile Order,texas-7,185,79,0.682,15456,91963.2,0.74,0.252,0.212,0.24,44955,318015,0.0684,Warm-weather commuter,2.23,0.047,54
83,2025-07-21,Summer Berry Refresher,Northeast,Mobile Order,northeast-2,108,61,0.35,5352,31844.4,0.717,0.188,0.193,0.058,29268,378648,0.0798,Morning commuter,3.73,0.006,37
84,2025-07-21,Pineapple Passionfruit Refresher,Southeast,Drive-thru,southeast-4,168,62,0.35,10470,62296.5,0.602,0.205,0.062,0.187,29400,691320,0.0813,Rewards power user,2.65,0.006,44
85,2025-12-08,Summer Berry Refresher,Midwest,In-store,midwest-2,54,93,0.866,3781,22496.95,0.691,0.264,0.169,0.158,13662,184464,0.0746,Gen Z afternoon,3.71,0.09,56
86,2025-09-01,Summer Berry Refresher,New York Metro,Drive-thru,new-york-metro-8,128,72,0.538,4902,29166.9,0.6,0.232,0.196,0.159,14976,296192,0.074,Rewards power user,3.47,0.045,42
87,2025-06-09,Spiced Mocha Cold Brew,South,Drive-thru,south-6,110,84,0.666,9851,58613.45,0.615,0.28,0.103,0.102,22550,295460,0.0854,Gen Z afternoon,3.4,0.032,50
88,2026-02-02,Citrus Green Tea,Midwest,Drive-thru,midwest-5,191,79,0.593,9673,57554.35,0.699,0.234,0.104,0.181,45458,185079,0.0744,Rewards power user,2.1,0.028,52
89,2025-08-25,Spiced Mocha Cold Brew,Southeast,RTD Retail,southeast-8,130,82,0.731,7749,34793.01,0.628,0.31,0.109,0.156,35490,159120,0.0869,Seasonal trial seeker,3.24,0.012,47
90,2025-09-15,Pineapple Passionfruit Refresher,Texas,Drive-thru,texas-4,219,92,0.858,13036,77564.2,0.61,0.276,0.067,0.223,60663,580131,0.0796,Rewards power user,2.31,0.052,59
91,2025-07-21,Cinder Orange Cold Brew Sim,West,Mobile Order,west-3,214,91,0.9,21779,129585.05,0.635,0.323,0.231,0.298,60990,437844,0.0934,Warm-weather commuter,3.79,0.084,58
92,2025-09-29,Iced Ube Coconut Macchiato,Southeast,In-store,southeast-5,77,97,0.956,4079,24270.05,0.711,0.255,0.138,0.214,17864,125664,0.0914,Morning commuter,1.1,0.018,45
93,2025-12-22,Vanilla Cream Cold Brew,Florida,RTD Retail,florida-3,93,96,0.88,9852,44235.48,0.728,0.293,0.074,0.109,19065,164238,0.0973,Morning commuter,3.96,0.068,56
94,2025-06-23,Cinder Orange Cold Brew Sim,Midwest,Delivery,midwest-4,89,65,0.35,6395,38050.25,0.749,0.255,0.198,0.274,19046,144091,0.0922,Seasonal trial seeker,5.37,0.097,37
95,2025-10-27,Summer Berry Refresher,Pacific Northwest,RTD Retail,pacific-northwest-1,99,60,0.35,2608,11709.92,0.688,0.167,0.104,0.061,23265,173547,0.0702,Morning commuter,1.08,0.059,49
96,2025-07-21,Summer Berry Refresher,Midwest,RTD Retail,midwest-2,92,96,0.859,7825,35134.25,0.614,0.281,0.234,0.236,26772,294584,0.0796,Seasonal trial seeker,4.77,0.086,42
97,2025-12-01,Pineapple Passionfruit Refresher,Northeast,Mobile Order,northeast-8,132,94,0.96,12400,73780,0.607,0.261,0.159,0.061,14388,128568,0.0843,Cold coffee loyalist,1.16,0.031,48
98,2025-07-07,Vanilla Cream Cold Brew,Pacific Northwest,Mobile Order,pacific-northwest-1,85,88,0.791,5710,33974.5,0.617,0.308,0.261,0.196,8670,242845,0.0969,Gen Z afternoon,4.15,0.083,44
99,2025-12-01,Iced Ube Coconut Macchiato,Florida,In-store,florida-4,153,87,0.79,13282,79027.9,0.644,0.279,0.105,0.188,39780,607716,0.0775,Cold coffee loyalist,2,0.046,47
100,2025-10-13,Iced Ube Coconut Macchiato,New York Metro,RTD Retail,new-york-metro-8,115,57,0.35,4585,20586.65,0.763,0.165,0.209,0.12,23805,230690,0.0696,Cold coffee loyalist,3.53,0.043,32
101,2025-12-29,Spiced Mocha Cold Brew,South,RTD Retail,south-2,153,70,0.479,9817,44078.33,0.603,0.282,0.184,0.3,16218,183294,0.098,Cold coffee loyalist,1.82,0.016,57
102,2025-07-21,Cinder Orange Cold Brew Sim,Texas,Drive-thru,texas-7,112,65,0.378,8657,51509.15,0.608,0.221,0.152,0.16,26320,130032,0.0894,Warm-weather commuter,4.88,0.1,45
103,2025-08-18,Blood Orange Espresso Tonic,California,RTD Retail,california-1,61,73,0.471,3243,14561.07,0.62,0.193,0.175,0.206,12505,147864,0.0774,Gen Z afternoon,2.58,0.051,38
104,2025-10-20,Iced Ube Coconut Macchiato,Florida,RTD Retail,florida-3,67,75,0.472,3378,15167.22,0.69,0.179,0.146,0.142,20368,193094,0.0712,Rewards power user,2.12,0.082,49
105,2025-10-27,Iced Ube Coconut Macchiato,South,Delivery,south-2,196,61,0.35,8004,47623.8,0.633,0.193,0.186,0.214,53116,714224,0.0642,Warm-weather commuter,4.87,0.105,47
106,2025-07-21,Iced Ube Coconut Macchiato,West,RTD Retail,west-4,64,80,0.691,3822,17160.78,0.731,0.226,0.189,0.261,16320,105984,0.0877,Gen Z afternoon,2.21,0.089,45
107,2025-11-10,Pineapple Passionfruit Refresher,New York Metro,Mobile Order,new-york-metro-7,178,61,0.35,7894,46969.3,0.626,0.209,0.121,0.278,21538,686190,0.0745,Seasonal trial seeker,3.84,0.031,44
108,2025-12-08,Vanilla Cream Cold Brew,Texas,Drive-thru,texas-1,217,58,0.35,15322,91165.9,0.758,0.246,0.211,0.119,26908,595448,0.0859,Gen Z afternoon,2.54,0.053,48
109,2026-01-19,Iced Ube Coconut Macchiato,Texas,Drive-thru,texas-2,145,79,0.593,7917,47106.15,0.728,0.241,0.175,0.196,18415,502425,0.0663,Seasonal trial seeker,4.16,0.115,39
110,2025-12-29,Iced Ube Coconut Macchiato,Texas,Mobile Order,texas-3,86,97,0.921,6718,39972.1,0.751,0.244,0.22,0.111,6966,357932,0.0854,Gen Z afternoon,2.55,0.078,49
111,2025-09-15,Summer Berry Refresher,West,In-store,west-8,72,97,0.988,5653,33635.35,0.74,0.271,0.227,0.063,22752,107352,0.0735,Rewards power user,2.28,0.006,53
112,2025-08-11,Blood Orange Espresso Tonic,Northeast,RTD Retail,northeast-5,215,63,0.371,8856,39763.44,0.564,0.196,0.222,0.18,46440,330455,0.0639,Rewards power user,2,0.034,38
113,2025-06-30,Citrus Green Tea,California,In-store,california-8,171,56,0.35,6090,36235.5,0.761,0.215,0.109,0.23,46854,303525,0.0574,Rewards power user,2.62,0.011,51
114,2025-09-15,Vanilla Cream Cold Brew,South,Delivery,south-8,40,73,0.582,2781,16546.95,0.738,0.276,0.14,0.112,8320,145280,0.0649,Rewards power user,1.94,0.015,48
115,2025-12-08,Cinder Orange Cold Brew Sim,Midwest,Mobile Order,midwest-7,150,87,0.828,18158,108040.1,0.65,0.288,0.201,0.15,31350,322050,0.098,Cold coffee loyalist,4.55,0.099,51
116,2025-11-10,Spiced Mocha Cold Brew,New York Metro,In-store,new-york-metro-1,188,67,0.391,14238,84716.1,0.792,0.252,0.062,0.108,53580,455336,0.067,Seasonal trial seeker,2.61,0.064,52
117,2025-12-22,Spiced Mocha Cold Brew,Midwest,Drive-thru,midwest-4,197,97,0.938,16625,98918.75,0.69,0.325,0.088,0.182,39794,242507,0.0826,Seasonal trial seeker,4.18,0.044,53
118,2025-06-23,Summer Berry Refresher,New York Metro,Mobile Order,new-york-metro-8,136,84,0.772,9326,55489.7,0.6,0.275,0.238,0.276,24616,425408,0.0994,Cold coffee loyalist,4.8,0.112,44
119,2025-11-03,Cinder Orange Cold Brew Sim,Pacific Northwest,Drive-thru,pacific-northwest-5,193,70,0.434,16621,98894.95,0.723,0.231,0.162,0.187,40723,271551,0.0843,Morning commuter,3.02,0.058,44
120,2025-08-25,Blood Orange Espresso Tonic,Northeast,Drive-thru,northeast-5,107,59,0.35,5693,33873.35,0.609,0.171,0.151,0.096,18190,369257,0.0637,Cold coffee loyalist,4.47,0.081,36
121,2025-10-06,Iced Ube Coconut Macchiato,California,Mobile Order,california-8,71,92,0.858,5465,32516.75,0.641,0.288,0.182,0.181,10082,79591,0.0827,Rewards power user,2.86,0.023,48
122,2025-06-30,Pineapple Passionfruit Refresher,California,Mobile Order,california-8,47,63,0.35,2558,15220.1,0.627,0.218,0.276,0.198,9447,51982,0.0833,Warm-weather commuter,1.78,0.078,43
123,2025-10-27,Vanilla Cream Cold Brew,Northeast,In-store,northeast-2,44,60,0.35,2047,12179.65,0.651,0.213,0.172,0.115,13464,41492,0.0819,Gen Z afternoon,1.53,0.03,51
124,2026-01-19,Cinder Orange Cold Brew Sim,Florida,In-store,florida-6,123,87,0.689,9442,56179.9,0.679,0.26,0.066,0.229,25584,244647,0.0874,Warm-weather commuter,1.77,0.053,45
125,2025-09-29,Summer Berry Refresher,Pacific Northwest,RTD Retail,pacific-northwest-6,101,79,0.551,2910,13065.9,0.705,0.218,0.197,0.081,13837,415312,0.0627,Warm-weather commuter,3.29,0.063,43
126,2025-09-22,Blood Orange Espresso Tonic,Florida,RTD Retail,florida-8,143,73,0.537,5012,22503.88,0.708,0.224,0.144,0.211,31174,217646,0.0583,Morning commuter,2.18,0.035,43
127,2025-09-08,Spiced Mocha Cold Brew,Northeast,RTD Retail,northeast-3,84,68,0.397,4927,22122.23,0.778,0.258,0.235,0.271,15708,79800,0.0926,Cold coffee loyalist,4.07,0.038,42
128,2025-09-01,Cinder Orange Cold Brew Sim,Florida,Delivery,florida-3,89,83,0.734,7151,42548.45,0.662,0.273,0.194,0.281,23229,373177,0.0807,Warm-weather commuter,2.98,0.003,44
129,2026-01-12,Spiced Mocha Cold Brew,Texas,RTD Retail,texas-5,126,61,0.35,6069,27249.81,0.672,0.211,0.166,0.246,17766,146916,0.0767,Warm-weather commuter,4.89,0.038,43
130,2026-01-26,Citrus Green Tea,Florida,Drive-thru,florida-5,76,85,0.655,4716,28060.2,0.6,0.205,0.067,0.126,11096,302024,0.0842,Cold coffee loyalist,4.91,0.082,41
131,2025-06-09,Cinder Orange Cold Brew Sim,West,RTD Retail,west-2,64,76,0.626,4860,21821.4,0.799,0.276,0.196,0.152,15488,115968,0.079,Morning commuter,2.77,0.086,50
132,2025-08-11,Iced Ube Coconut Macchiato,Florida,Mobile Order,florida-1,136,97,0.893,9141,54388.95,0.702,0.241,0.273,0.135,39984,402016,0.0725,Warm-weather commuter,1.27,0.073,46
133,2025-05-19,Spiced Mocha Cold Brew,South,In-store,south-7,87,81,0.678,7043,41905.85,0.714,0.261,0.142,0.132,11049,249864,0.067,Cold coffee loyalist,3.44,0.072,49
134,2026-01-05,Vanilla Cream Cold Brew,South,Drive-thru,south-4,181,88,0.805,11134,66247.3,0.629,0.287,0.07,0.126,49232,372498,0.0812,Seasonal trial seeker,2.06,0.026,52
